ISO_A2,model,median_BOC,median_EOC,rel_change_%,p_shapiro_BOC,p_shapiro_EOC,p_ttest,signif_ttest
GB,ACCESS-CM2,26327.677232491795,29543.743624625095,12.215534107825713,0.9998079386547258,0.7800562806912902,8.45811554941869e-17,True
GB,CanESM5,28006.117935752183,28741.861607998646,2.6270819609283422,0.05528336718133059,0.9586331214186784,0.004850420285106945,True
GB,CMCC-CM2-SR5,19350.163469029936,20007.61653789409,3.397661574882359,0.5883421773745819,0.9830109019588494,0.001710602930964572,True
GB,CMCC-ESM2,19184.392584450885,19505.740979102055,1.6750511815090006,0.1951289927827547,0.7200836118119669,0.03572687980462933,True
GB,HadGEM3-GC31-LL,26912.831666944923,30174.862081123243,12.120725364565912,0.1601889128136445,0.4838763658334425,4.162728008338218e-21,True
GB,HadGEM3-GC31-MM,26680.555514020158,29217.769185949444,9.509598368729714,0.12222293921841515,0.3972134459404162,2.5642232377252904e-19,True
GB,MRI-ESM2-0,23756.28633615382,23543.00895897071,-0.8977723797617724,0.5482067009707445,0.5709653701352133,0.4737362663940211,False
NO,ACCESS-CM2,27368.680896676527,27905.920312105623,1.9629715347162922,0.537582475083982,0.024981445445707837,0.002381910326340631,True
NO,CanESM5,19260.593179098032,18925.313509283398,-1.7407546418585174,0.7976535597278044,0.6523213528486638,0.19951906329633073,False
NO,CMCC-CM2-SR5,19990.084308575224,20436.9452581558,2.235413031194091,0.8199464886547189,0.37893994851016843,0.0471706979935563,True
NO,CMCC-ESM2,19954.45573113913,20063.385313605497,0.5458910227071843,0.03816443478711152,0.2972181308863797,0.6578156295680582,False
NO,HadGEM3-GC31-LL,27451.53987173935,29023.472607713946,5.726209689216228,0.7013500490283068,0.10516054519205353,1.6337458502594898e-07,True
NO,HadGEM3-GC31-MM,28144.516406785515,28831.071131012057,2.439390729986097,0.38563369897132993,0.4969773259547091,0.07378115721437453,False
NO,MRI-ESM2-0,22516.80946749644,21691.24942932053,-3.666416591425292,0.5906689589032856,0.5231057765156295,0.003089261236696799,True
BA,ACCESS-CM2,6549.721829966972,7315.982397555082,11.699131466656096,0.8329858017965179,0.3050580657253019,3.3695209936146715e-18,True
BA,CanESM5,7252.695736181803,7461.008112880345,2.8722062013345715,0.15131745510397315,0.0155566825158032,0.032704500910848255,True
BA,CMCC-CM2-SR5,4949.198961318363,5338.441741224646,7.864763226301906,0.3840032313404605,0.18271416838431848,4.456446034446719e-09,True
BA,CMCC-ESM2,4878.310531868733,5393.763865605117,10.56622636810554,0.40107105084808936,0.5551015435857495,4.188272539929161e-10,True
BA,HadGEM3-GC31-LL,6529.437833067681,7130.994153841785,9.212987950165981,0.8976991818104666,0.9149754656675124,2.4167349871220157e-15,True
BA,HadGEM3-GC31-MM,6375.936653616212,6751.377048756976,5.888395941446925,0.993028834466689,0.8336576953522279,5.835471761644432e-09,True
BA,MRI-ESM2-0,6142.398232701904,6650.107502612084,8.26565212276786,0.18054762503717448,0.49588139002629683,5.208825141164729e-10,True
ME,ACCESS-CM2,1783.6050726836895,1977.8602013646525,10.89115139085573,0.6380441107216654,0.20300327298544812,6.38905983319696e-17,True
ME,CanESM5,1908.1721637169883,1993.1794904484104,4.454908647542249,0.30560415810754193,0.011184611292582794,0.003817502845663805,True
